subject,src,n_trials,score
sub56,picture8_neutral.jpg,1,26
sub56,picture9_neutral.jpg,1,8
sub57,picture10_neutral.jpg,1,10
sub57,picture1_neutral.jpg,1,23
sub57,picture1_threat.jpg,1,22
sub57,picture2_threat.jpg,1,18
sub57,picture3_neutral.jpg,1,24
sub57,picture3_threat.jpg,1,23
sub57,picture4_neutral.jpg,1,9
sub57,picture4_threat.jpg,1,21
sub57,picture6_neutral.jpg,1,16
sub57,picture9_neutral.jpg,1,24
sub58,picture1_neutral.jpg,1,13
sub58,picture1_threat.jpg,1,15
sub58,picture2_neutral.jpg,1,3
sub58,picture2_threat.jpg,1,14
sub58,picture3_neutral.jpg,1,1
sub58,picture3_threat.jpg,1,6
sub58,picture4_threat.jpg,1,11
sub58,picture5_neutral.jpg,1,2
sub58,picture7_neutral.jpg,1,15
sub58,picture8_neutral.jpg,1,12
sub59,picture10_neutral.jpg,1,19
sub59,picture1_threat.jpg,1,9
sub59,picture2_threat.jpg,1,26
sub59,picture3_threat.jpg,1,27
sub59,picture4_threat.jpg,1,22
sub59,picture5_neutral.jpg,1,27
sub59,picture6_neutral.jpg,1,15
sub59,picture7_neutral.jpg,1,25
sub59,picture8_neutral.jpg,1,23
sub59,picture9_neutral.jpg,1,21
sub6,picture1_neutral.jpg,1,22
sub6,picture1_threat.jpg,1,18
sub6,picture2_threat.jpg,1,21
sub6,picture3_neutral.jpg,1,26
sub6,picture3_threat.jpg,1,26
sub6,picture4_neutral.jpg,1,9
sub6,picture4_threat.jpg,1,23
sub6,picture6_neutral.jpg,1,1
sub6,picture7_neutral.jpg,1,27
sub6,picture9_neutral.jpg,1,27
sub60,picture1_threat.jpg,1,22
sub60,picture2_neutral.jpg,1,15
sub60,picture2_threat.jpg,1,21
sub60,picture3_neutral.jpg,1,8
sub60,picture3_threat.jpg,1,12
sub60,picture4_neutral.jpg,1,19
sub60,picture4_threat.jpg,1,16
sub60,picture5_neutral.jpg,1,15
sub60,picture7_neutral.jpg,1,22
sub60,picture8_neutral.jpg,1,18
sub61,picture1_threat.jpg,1,15
sub61,picture2_threat.jpg,1,24
sub61,picture3_neutral.jpg,1,18
sub61,picture3_threat.jpg,1,22
sub61,picture4_threat.jpg,1,3
sub61,picture5_neutral.jpg,1,23
sub61,picture6_neutral.jpg,1,1
sub61,picture7_neutral.jpg,1,17
sub61,picture8_neutral.jpg,1,21
sub61,picture9_neutral.jpg,1,24
sub62,picture10_neutral.jpg,1,9
sub62,picture1_neutral.jpg,1,12
sub62,picture1_threat.jpg,1,13
sub62,picture2_neutral.jpg,1,7
sub62,picture2_threat.jpg,1,1
sub62,picture3_threat.jpg,1,13
sub62,picture4_threat.jpg,1,1
sub62,picture6_neutral.jpg,1,11
sub62,picture7_neutral.jpg,1,1
sub62,picture9_neutral.jpg,1,6
sub63,picture10_neutral.jpg,2,12
sub63,picture1_neutral.jpg,2,12.5
sub63,picture1_threat.jpg,2,19
sub63,picture2_threat.jpg,2,17
sub63,picture3_neutral.jpg,2,14
sub63,picture3_threat.jpg,2,5
sub63,picture4_threat.jpg,2,13.5
sub63,picture5_neutral.jpg,2,11
sub63,picture7_neutral.jpg,2,18
sub63,picture9_neutral.jpg,2,12
sub64,picture10_neutral.jpg,1,21
sub64,picture1_threat.jpg,1,20
sub64,picture2_neutral.jpg,1,19
sub64,picture2_threat.jpg,1,22
sub64,picture3_neutral.jpg,1,6
sub64,picture3_threat.jpg,1,12
sub64,picture4_neutral.jpg,1,16
sub64,picture4_threat.jpg,1,23
sub64,picture5_neutral.jpg,1,23
sub64,picture6_neutral.jpg,1,19
sub65,picture10_neutral.jpg,2,2
sub65,picture1_threat.jpg,2,6
sub65,picture2_threat.jpg,2,5
sub65,picture3_neutral.jpg,2,7.5
sub65,picture3_threat.jpg,2,6
sub65,picture4_neutral.jpg,2,8.5
sub65,picture4_threat.jpg,2,7
sub65,picture5_neutral.jpg,2,8
sub65,picture7_neutral.jpg,2,5.5
sub65,picture9_neutral.jpg,2,5
sub66,picture10_neutral.jpg,2,13
sub66,picture1_neutral.jpg,2,14
sub66,picture1_threat.jpg,2,5
sub66,picture2_neutral.jpg,2,12.5
sub66,picture2_threat.jpg,2,10.5
sub66,picture3_threat.jpg,2,14.5
sub66,picture4_neutral.jpg,2,7.5
sub66,picture4_threat.jpg,2,14.5
sub66,picture6_neutral.jpg,2,4
