subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus,combined_comnums,target_node,target_threat,nontarget_comb,nontarget_threat
sub88,46,2524,1,2,Node3,picture3.jpg,1,threat,2,threat,1,threat,2,threat,212,,threat,threatthreat,has_threat
sub88,47,3088,1,3,Node1,picture4.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
sub88,48,2784,1,2,Node4,picture1.jpg,1,neutral,2,threat,1,neutral,2,neutral,212,,neutral,threatneutral,has_threat
sub89,1,4273,1,3,Node6,picture9.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub89,2,4595,1,2,Node9,picture10.jpg,2,neutral,1,neutral,2,neutral,1,neutral,121,,neutral,neutralneutral,no_threat
sub89,3,5359,0,2,Node8,picture2.jpg,2,threat,1,threat,2,threat,2,neutral,122,,threat,threatneutral,has_threat
sub89,4,5487,1,1,Node9,picture10.jpg,2,neutral,2,neutral,1,neutral,1,neutral,211,,neutral,neutralneutral,no_threat
sub89,5,4733,1,1,Node4,picture3.jpg,1,neutral,1,neutral,2,threat,2,threat,122,,neutral,threatthreat,has_threat
sub89,6,7109,0,3,Node9,picture10.jpg,2,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub89,7,5593,1,3,Node10,picture3.jpg,2,threat,1,threat,1,threat,2,threat,112,,threat,threatthreat,has_threat
sub89,8,7927,0,1,Node8,picture2.jpg,2,threat,2,threat,2,neutral,1,threat,221,,threat,threatneutral,has_threat
sub89,9,5563,0,1,Node9,picture10.jpg,2,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub89,10,10151,1,3,Node2,picture4.jpg,1,threat,2,threat,2,threat,1,threat,221,,threat,threatthreat,has_threat
sub89,11,4681,1,3,Node3,picture1.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
sub89,12,2876,1,3,Node4,picture3.jpg,1,neutral,2,threat,2,threat,1,neutral,221,,neutral,threatthreat,has_threat
sub89,13,3486,1,3,Node8,picture2.jpg,2,threat,1,neutral,1,threat,2,threat,112,,threat,neutralthreat,has_threat
