subject,transition_threat,activeNodeThreatStatus,prevTrialThreatStatus,correct_rejections,false_alarms,hits,misses,dprime
sub74,contains_threat,threat,neutral,45,3,11,0,3.1968981888077677
sub74,contains_threat,threat,threat,14,0,6,0,3.2991484285014367
sub74,no_threat,neutral,neutral,45,0,16,1,3.677889336343734
sub75,contains_threat,neutral,threat,48,3,8,2,2.244005470979664
sub75,contains_threat,threat,neutral,50,3,8,0,3.108782842411923
sub75,contains_threat,threat,threat,12,2,8,0,2.5606403841247514
sub75,no_threat,neutral,neutral,36,5,14,0,2.9558151032782662
sub76,contains_threat,neutral,threat,47,0,10,0,4.001612967842316
sub76,contains_threat,threat,neutral,47,0,10,0,4.001612967842316
sub76,contains_threat,threat,threat,19,0,5,0,3.3429581116406917
sub76,no_threat,neutral,neutral,46,0,15,0,4.165771812011431
sub77,contains_threat,neutral,threat,47,0,8,0,3.904210156280468
sub77,contains_threat,threat,neutral,43,1,10,2,2.7033384091048003
sub77,contains_threat,threat,threat,16,0,2,0,2.8569315264351314
sub77,no_threat,neutral,neutral,51,1,17,1,3.3185455817391896
sub78,contains_threat,neutral,threat,47,0,13,0,4.113734428996609
sub78,contains_threat,threat,neutral,48,0,12,0,4.087583009496538
sub78,contains_threat,threat,threat,11,0,1,0,2.4061541463183267
sub78,no_threat,neutral,neutral,51,2,12,2,2.6492990863593002
sub79,contains_threat,neutral,threat,45,0,8,0,3.888114027266146
sub79,contains_threat,threat,neutral,43,0,8,1,3.314421722522524
sub79,contains_threat,threat,threat,15,0,7,0,3.396852411774197
sub79,no_threat,neutral,neutral,53,4,14,1,2.739507592005979
sub8,contains_threat,neutral,threat,59,1,5,1,2.7586636148453
sub8,contains_threat,threat,neutral,47,4,9,6,1.5995854987468068
sub8,contains_threat,threat,threat,11,2,8,1,1.957256365862168
sub8,no_threat,neutral,neutral,31,4,6,4,1.38023349795524
sub80,contains_threat,neutral,threat,49,0,7,2,3.0008376242369224
sub80,contains_threat,threat,neutral,46,0,12,0,4.071864983108486
sub80,contains_threat,threat,threat,16,0,6,0,3.3547437530189526
sub80,no_threat,neutral,neutral,47,1,12,1,3.113737522710566
sub81,contains_threat,neutral,threat,45,0,13,0,4.097638299982287
sub81,contains_threat,threat,neutral,52,1,6,0,3.3797396177410794
sub81,contains_threat,threat,threat,10,1,6,0,2.6155831730615304
